IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.93.188.199,2086,80,false,ORD,North America,Chicago,203,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2052,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,1,0.00
54.254.190.97,2096,80,false,SIN,Asia Pacific,Singapore,1,0.00
13.228.170.74,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.90.43,2086,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.159.215,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
54.254.190.97,2095,80,false,SIN,Asia Pacific,Singapore,2,0.00
54.254.190.97,2086,80,false,SIN,Asia Pacific,Singapore,2,0.00
13.228.155.72,443,443,true,SIN,Asia Pacific,Singapore,2,0.00
13.229.107.89,2082,80,false,CGK,Asia Pacific,Jakarta,2,0.00
54.254.190.97,2053,80,false,SIN,Asia Pacific,Singapore,2,0.00
54.254.190.97,2082,80,false,SIN,Asia Pacific,Singapore,3,0.00
54.254.190.97,2052,80,false,SIN,Asia Pacific,Singapore,9,0.00
13.126.254.121,80,8080,false,BOM,Asia Pacific,Mumbai,55,0.00
3.108.0.17,2086,80,false,BOM,Asia Pacific,Mumbai,57,0.00
13.230.34.30,443,443,true,NRT,Asia Pacific,Tokyo,67,0.00
54.199.11.181,2052,80,false,NRT,Asia Pacific,Tokyo,68,0.00
54.199.224.90,80,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,68,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,70,0.00
13.124.81.29,443,443,true,NRT,Asia Pacific,Tokyo,72,0.00
13.125.218.78,443,443,true,NRT,Asia Pacific,Tokyo,73,0.00
13.236.104.165,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.237.223.44,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2095,80,false,SYD,Oceania,Sydney,93,0.00
13.237.94.188,2052,80,false,SYD,Oceania,Sydney,93,0.00
54.253.222.7,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,93,0.00
13.236.104.165,2082,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,93,0.00
3.105.185.150,2053,80,false,SYD,Oceania,Sydney,93,0.00
13.238.235.196,2095,80,false,SYD,Oceania,Sydney,93,0.00
