IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
51.20.137.147,443,443,true,CPH,Europe,DK,Copenhagen,290,11.82
34.249.147.242,2087,443,true,DUB,Europe,IE,Dublin,288,11.81
3.66.214.40,443,443,true,FRA,Europe,DE,Frankfurt,236,11.81
67.226.223.70,80,443,true,LHR,Europe,GB,London,160,11.81
35.179.133.207,443,443,true,LHR,Europe,GB,London,331,11.80
3.74.45.243,443,443,true,FRA,Europe,DE,Frankfurt,214,11.79
16.16.45.85,8443,443,true,ARN,Europe,SE,Stockholm,187,11.79
18.200.197.244,2096,443,true,DUB,Europe,IE,Dublin,305,11.78
34.249.147.242,2096,443,true,DUB,Europe,IE,Dublin,306,11.78
3.123.202.92,8443,443,true,FRA,Europe,DE,Frankfurt,189,11.78
35.178.235.225,443,443,true,LHR,Europe,GB,London,235,11.77
3.124.208.189,443,443,true,FRA,Europe,DE,Frankfurt,295,11.76
3.69.0.8,443,443,true,FRA,Europe,DE,Frankfurt,265,11.75
35.179.158.201,443,443,true,LHR,Europe,GB,London,337,11.73
67.226.223.125,80,443,true,LHR,Europe,GB,London,391,11.73
35.180.79.127,8443,443,true,CDG,Europe,FR,Paris,367,11.72
67.226.223.225,80,443,true,LHR,Europe,GB,London,414,11.71
67.226.223.156,80,443,true,LHR,Europe,GB,London,315,11.70
3.74.9.115,8443,443,true,FRA,Europe,DE,Frankfurt,304,11.70
67.226.223.11,80,443,true,LHR,Europe,GB,London,408,11.70
51.20.193.244,443,443,true,AMS,Europe,NL,Amsterdam,254,11.69
67.226.223.111,80,443,true,LHR,Europe,GB,London,280,11.69
3.76.118.65,443,443,true,FRA,Europe,DE,Frankfurt,357,11.69
3.249.74.184,8080,443,true,DUB,Europe,IE,Dublin,281,11.69
67.226.223.117,80,443,true,LHR,Europe,GB,London,353,11.69
67.226.223.109,443,443,true,LHR,Europe,GB,London,412,11.68
16.170.231.13,443,443,true,CPH,Europe,DK,Copenhagen,373,11.68
3.252.251.0,443,443,true,DUB,Europe,IE,Dublin,272,11.68
51.20.163.38,2053,443,true,ARN,Europe,SE,Stockholm,222,11.67
35.178.197.245,443,443,true,LHR,Europe,GB,London,363,11.67
35.181.145.78,8443,443,true,CDG,Europe,FR,Paris,269,11.67
67.226.223.136,80,443,true,LHR,Europe,GB,London,290,11.67
16.171.52.23,8443,443,true,AMS,Europe,NL,Amsterdam,306,11.67
16.171.241.98,443,443,true,CPH,Europe,DK,Copenhagen,321,11.67
18.197.195.222,8443,443,true,FRA,Europe,DE,Frankfurt,282,11.67
51.20.98.210,443,443,true,CPH,Europe,DK,Copenhagen,289,11.67
67.226.223.254,80,443,true,LHR,Europe,GB,London,353,11.66
67.226.223.255,80,443,true,LHR,Europe,GB,London,166,11.66
3.77.157.88,443,443,true,FRA,Europe,DE,Frankfurt,427,11.65
34.247.254.220,8080,443,true,DUB,Europe,IE,Dublin,304,11.65
67.226.223.153,80,443,true,LHR,Europe,GB,London,175,11.65
35.179.165.208,443,443,true,LHR,Europe,GB,London,288,11.64
51.20.98.210,443,443,true,CPH,Europe,DK,Copenhagen,394,11.63
3.255.107.180,8080,443,true,DUB,Europe,IE,Dublin,228,11.63
35.179.164.7,443,443,true,LHR,Europe,GB,London,351,11.62
51.20.252.242,443,443,true,CPH,Europe,DK,Copenhagen,251,11.62
51.20.248.132,443,443,true,CPH,Europe,DK,Copenhagen,271,11.61
3.79.59.119,8443,443,true,FRA,Europe,DE,Frankfurt,312,11.60
3.255.107.180,8080,443,true,DUB,Europe,IE,Dublin,297,11.60
3.249.82.31,443,443,true,DUB,Europe,IE,Dublin,343,11.60
35.178.245.19,443,443,true,LHR,Europe,GB,London,346,11.59
34.247.254.220,8080,443,true,DUB,Europe,IE,Dublin,306,11.59
67.226.223.204,80,443,true,LHR,Europe,GB,London,155,11.58
67.226.223.136,443,443,true,LHR,Europe,GB,London,395,11.58
67.226.223.194,80,443,true,LHR,Europe,GB,London,394,11.57
51.20.133.4,8443,443,true,AMS,Europe,NL,Amsterdam,333,11.56
