IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
198.46.200.138,30089,443,true,LAX,North America,US,Los Angeles,163,2.79
107.174.225.21,58938,443,true,DFW,North America,US,Dallas,204,2.66
104.168.94.114,34237,2096,true,SJC,North America,US,San Jose,180,2.37
104.168.43.27,54063,443,true,SJC,North America,US,San Jose,161,1.84
23.94.255.55,3306,443,true,SJC,North America,US,San Jose,184,1.80
198.46.200.160,15347,443,true,LAX,North America,US,Los Angeles,191,1.46
104.168.43.27,37190,443,true,SJC,North America,US,San Jose,159,1.43
198.12.121.169,24863,443,true,SJC,North America,US,San Jose,174,1.43
104.168.43.27,17635,443,true,SJC,North America,US,San Jose,163,1.31
107.173.111.72,1443,443,true,SJC,North America,US,San Jose,178,1.14
107.174.247.25,54021,443,true,SEA,North America,US,Seattle,184,1.10
23.95.235.137,443,443,true,YYZ,North America,CA,Toronto,254,1.01
107.173.30.239,25287,443,true,BUF,North America,US,Buffalo,242,0.90
23.94.25.245,10287,443,true,SJC,North America,US,San Jose,177,0.89
23.94.216.231,8443,443,true,AMS,Europe,NL,Amsterdam,276,0.87
198.46.218.63,27149,443,true,ORD,North America,US,Chicago,234,0.78
107.175.44.118,58621,443,true,SJC,North America,US,San Jose,161,0.78
108.174.61.161,59581,443,true,BUF,North America,US,Buffalo,245,0.46
192.210.170.102,48181,443,true,BUF,North America,US,Buffalo,239,0.28
172.245.10.114,8128,80,false,BUF,North America,US,Buffalo,230,0.14
172.245.107.99,45203,443,true,BUF,North America,US,Buffalo,242,0.08
104.168.102.121,2053,443,true,SJC,North America,US,San Jose,174,0.07
107.173.34.130,8443,443,true,SJC,North America,US,San Jose,164,0.05
172.245.86.209,34237,2096,true,ORD,North America,US,Chicago,226,0.00
